name,observer,sell_rank,price,features,rating,nb_evaluation
beyerdynamic DT-770 Pro 250 Ohm,384,                2            ,    129,"Circum-aural,Dynamique,Fermé,Impédance: 250 Ohm,SPL: 96 dB,Bande passante: 5 - 35000 Hz,Champ diffus,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids avec câble: 375 g,Poids sans câble 278 g,Sacoche incl.",4.8,2069
Shure SRH440,            ,                64            ,    75,"Fermé,Dynamique,Circum-aural,Aimant néodyme,SPL max.: 105 dB/V,Impédance: 44 Ohm,Bande passante: 10 - 22.000 Hz,Puissance admissible: 500 mW,Câble torsadé amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 388 g,Poids sans câble: 315 g,Adaptateur vissable 3,5/6,3 mm et trousse incl.",4.4,237
beyerdynamic DT-770 Pro Softskin Set,            ,                56            ,    145,"Casque studio,Circum-aural,Dynamique,Fermé,Impédance: 250 Ohm,SPL: 96 dB,Bande passante: 5 - 35000 Hz,Champ diffus,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids avec câble: 375 g,Poids sans câble 278 g,Sacoche incl.,Paire de coussinets,En simili-cuir,Disques de mousse incl.,Couleur: Noir,N° Beyerdynamic: 904.783,DT-550,DT-880,DT-880S,DT-770M",,
Audio-Technica ATH-M30 X,            ,                32            ,    62,"Closed-back,Circumaural (full size),Dynamic,40 mm Drivers with rare earth magnets and copper-clad aluminum wire voice coils,90 Degrees swiveling earcups,Frequency Range: 15 - 22000 Hz,Maximum Power: 1300 mW at 1 kHZ,Impedance: 47 Ohm,Peak SPL: 98 dB,3m Cable with 3,5 mm stereo mini-jack,Single-side cable output,Weight (including cable): 265 g,Weight (excluding cable): 205 g,Colour: Black,Includes 6,3 mm adapter and carry pouch",4.5,141
AKG K-872,            ,                30            ,    999,"Fermé,Circum-aural,Impédance: 36 Ohm,Sensitivité: 112 dB SPL/V,Transducteurs 53 mm,Système d'aimant 1,5 Tesla,Bobines mobiles 2 couches ultra-légères,Bande passante: 5 - 54.000 Hz,Puissance admissible: 300 mW,Câble de 3 m,Fiche LEMO et fiche mini Jack 3,5 mm plaquée or,Poids sans câble: 390 g,Adaptateur 6,3 mm et étui incl.",4.8,23
Shure SRH840,            ,                41            ,    111,"Fermé,Dynamique,Circum-aural,Aimant néodyme,SPL max.: 102 dB/V,Impédance: 44 Ohm,Bande passante: 5 - 25.000 Hz,Puissance admissible: 1000 mW,Câble torsadé amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 448 g,Poids sans câble: 376 g,Adaptateur vissable 3,5/6,3 mm, paire de coussinets et trousse incl.",4.6,220
beyerdynamic DT-150,            ,                53            ,    135,"Fermé,Dynamique,Circum-aural,Impédance: 250 Ohm,Bande passante: 5 - 30.000 Hz,SPL max.: 97 dB/IEC,Câble droit amovible de 3 m - K100.07,Poids avec câble: 385 g,Poids sans câble: 318 g,Couleur: Anthracite",4.8,141
AKG Podcaster Essentials Bundle,            ,                67            ,    222,"Comprend un casque studio AKG K-371 et un microphone USB AKG Lyra,Cours d'enregistrement en ligne en quatre parties de Berklee incl.,Transducteurs de 50 mm enduits de titane,Insonorisation extérieure élevée,Mécanisme de pliage innovant,Coussinets ovales en cuir artificiel,Cheminement de câble d'un seul côté,Circum-aural,Impédance: 32 Ohm,Sensibilité: 114 dB SPL/ V,Bande passante: 5 - 40000 Hz,Poids: 255 g,Câble droit de 3 m, câble droit de 1.2 m, câble torsadé de 3 m, adaptateur 6,3 mm et pochette de rangement incl.,Microphone USB Ultra-HD,4 caractéristiques sélectionnables,Spécialement adapté aux besoins des podcasteurs et des créateurs de contenu,Sortie casque intégrée pour un monitoring sans latence,4 caractéristiques directionnelles commutables: Avant, avant et arrière, stéréo serrée, stéréo large,Résolution: 24 bits/192 kHz,Réponse en fréquence: 20 Hz - 20 kHz,Pression acoustique max.: 129 dB SPL (0,5% THD),Sortie casque avec impédance nominale de 16 Ohm, puissance de sortie (RMS) de 43 mW et réponse en fréquence de 20 Hz à 22000 Hz,Rapport signal/bruit: 98 dB,THD: <0,009 %,Port USB 2.0 type C,Consommation électrique: 75 mA via USB,Poids: 1 kg,Plug n' Play sur PC et Mac via le pilote de classe,Plug n' Play pour les appareils iOS tels que l'iPhone et l'iPad avec le kit appareil photo d'Apple et l'alimentation externe (non fournie),Plug n' Play pour les appareils Android avec Android V9.x ou supérieur en combinaison avec un adaptateur OTG (non inclus)",5,2
AKG K-175,            ,                91            ,    49,"Transducteurs 40 mm,Fermé,Supra-aural,Impédance: 32 Ohm,Sensibilité: 114 dB SPL/V,Réponse en fréquence: 18 - 26000 Hz,Pression sonore caractéristique: 104 dB / V,Pliable,Câble d'un seul côté,Câble amovible de 5 m en spirale,Sac de transport inclus,Poids: 250 g",3.8,6
Audeze LCD-X Creator Leather Free,            ,                27            ,    1.290,"Version 2021,Ouvert,Circum-aural,Transducteurs de 106 mm,Aimants en néodyme,Impédance : 20 Ohm,Pande passante: 5 - 20000 Hz,SPL max.: 130 dB,Bandeau amélioré,Coussinets d'oreille en cuir artificiel,Câble de 1,9 m avec Jack 6,3 mm / mini XLR 4 broches incl.,Malette Economy Travel incl.",,
Audeze LCD-XC Creator Edition New,            ,                35            ,    1.490,"Nouveau serre-tête,Fermé,Circum-auriculaire,Transducteurs 106 mm,Aimants néodyme,Impédance : 20 Ohm,Réponse en fréquence : 5 - 50 000 Hz,Limite du niveau de pression acoustique : 130 dB,Coussinets en cuir véritable,Livré avec câble de 1,9 m avec fiches jack 6,3 mm et mini-XLR 4 broches",4.8,3
Superlux HD-681 B,            ,                72            ,"    21,70","Semi-ouvert,Dynamique,Circum-aural,SPL max.: 98 dB,Impédance: 32 Ohm,Bande passante: 10 - 30.000 Hz,Puissance absorbée: 300 mW,Câble de 2,5 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 277 g,Poids sans câble: 235 g,Adaptateur 3,5/6,3 mm et trousse incl.",4.4,558
the t.bone HD 990D,            ,                8            ,    27,"Idéal pour batteur,Atténuation des bruits ambiants d'env. 22 dBA,Circum-aural,Dynamique,Impédance: 35 Ohm,SPL: 105 dB,Bande passante: 10 - 20.000 Hz,Câble torsadé de 1 m (longueur max. de 4 m),Fiche mini Jack stéréo coudée 3,5 mm,Poids avec câble: 358 g,Poids sans câble: 258 g,Adaptateur vissable 3,5/6,3 mm incl.",3.9,1044
beyerdynamic DT-250/80,            ,                61            ,    159,"Fermé,Dynamique,Circum-aural,Aimant néodyme,Impédance: 80 Ohm,Bande passante: 10 - 30.000 Hz,SPL max.: 100 dB,Câble torsadé avec fiche mini Jack stéréo 3,5 mm,Adaptateur 3,5 / 6,3 mm incl.,Poids avec câble: 347 g,Poids sans câble: 244 g",4.5,33
AKG K-52,            ,                22            ,    28,"Fermé,Circum-aural,Impédance: 32 Ohm,Sensibilité: 110 dB SPL/V,Bande passante: 18 - 20.000 Hz,Puissance admissible: 200 mW,Câble de 2,5 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids: 200 g",4.4,153
Ultrasone Pro-900i,            ,                90            ,    398,"Pliable,Dynamique,Fermé,Technologie S-Logic Plus,Technologie ULE (Ultra Low Emission),Transducteurs 40 mm,Membranes en titane/mylar,Bande passante: 6 - 42.000 Hz,Impédance: 40 Ohm,SPL: 96 dB,Câble amovible,Poids sans câble: 295 g,Câble USC (Ultra Soft Cable) de 1,5 m avec fiche mini Jack stéréo 3,5 mm, câble torsadé de 3 m avec fiche Jack stéréo 6,3 mm, étui de transport et paire de coussinets de rechange incl.",4.8,9
Shure SRH1540 B-Stock,            ,                170            ,    399,"Fermé,Dynamique,Circum-aural,Transducteurs en néodyme de 40 mm,Impédance: 46 Ohm,Puissance admissible max: 1000 mW,Bande passante: 5 - 25.000 Hz,Sensibilité: 99 dB / Volt,Câble amovible de 1,8 m, peut se brancher sur l'oreille gauche ou droite,Fiche mini-jack stéréo 3,5 mm plaquée or,Adaptateur jack vissable 3,5 mm / 6,3 mm inclus,Poids sans câble: 292 g / 329 g (avec câble),Coussinets de rechange Alcantara et boîte inclus",4.5,2
Roland RH-A30 B-Stock,            ,                169            ,    139,"Ouvert,SPL max.: 95 dB,Impédance: 40 Ohm,Bande passante: 10 - 25.000 Hz,Câble de 3,4 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur Jack stéréo 6,3 mm incl.,Poids avec câble: 311 g,Poids sans câble: 240 g,Couleur: Argent",,
Fostex T40RP-MKIII Headphone B-Stock,            ,                168            ,    119,"Egalement adapté aux DJs,Fermé,Orthodynamique,Circum-aural,Impédance: 50 Ohm,Sensibilité: 91 dB,Bande passante: 20 - 35.000 Hz,Puissance admissible max: 3000 mW,Poids sans câble: 315 g,1 câble de 1,2 m avec fiche mini Jack stéréo 3,5 mm et 1 câble de 3 m avec fiche Jack stéréo 6,3 mm incl.",,
beyerdynamic DT-880 Pro Black Editi B-Stock,            ,                167            ,    159,,,
V-Moda M-200 B-Stock,            ,                166            ,    271,"Circum-aural,Fermé,Transducteurs de 50 mm,Sensibilité: 101,5 dB à 1 kHz 1 mW,Impédance: 30 Ohm,Bande passante: 5 - 40.000 Hz,Poids: 290 g,Câble microphone 1 bouton SpeakEasy, câble symétrique unilatéral, étui et adaptateur 6,3 mm incl.",,
AKG K-72 B-Stock,            ,                165            ,    33,"Fermé,Circum-aural,Impédance: 32 Ohm,Sensibilité: 112 dB SPL/V,Bande passante: 16 - 20.000 Hz,Puissance admissible: 200 mW,Câble de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids: 200 g",,
AKG K-92 B-Stock,            ,                162            ,    41,"Fermé,Circum-aural,Impédance: 32 Ohm,Sensibilité: 113 dB SPL/V,Bande passante: 16 - 22.000 Hz,Puissance admissible: 200 mW,Câble de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids: 200 g",,
Superlux HD-665 B-Stock,            ,                158            ,    50,"Circum-aural,Fermé,Transducteurs de 40 mm,SPL max.: 102 dB,Impédance: 68 Ohm,Bande passante: 10 - 20000 Hz,Puissance admissible: 200 mW,Pression de contact: 10 N,Câble droit amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 428 g,Poids sans câble: 372 g,Couleur: Noir,Adaptateur 6,3 mm, clip de maintien et trousse incl.",,
Austrian Audio Hi-X25BT B-Stock,            ,                152            ,    139,"Fermé,Circum-aural,Charnières et arceau en métal pour une durabilité maximale,Pliable pour un transport facile,Coussinets en mousse à mémoire de forme pour un confort maximal,Bluetooth version 5.0,Contrôle tactile,Différentes possibilités de connexion: Analogique via Jack, numérique via USB-C et sans fil via Bluetooth,Batterie lithium polymère intégrée,Autonomie max. de 30 heures,Bande passante: 12 - 24000 Hz,Sensibilité: 113 dB SPL/V,Impédance: 25 Ohm,Puissance d'entrée: 150 mW,Dimensions: 205 x 170 x 80 mm,Poids (sans câble): 270 g,Câble USB-C de 1,2 m avec adaptateur USB-C/USB-A et câble USB-C  vers mini Jack 3,5 mm de 1,4 m avec adaptateur Jack 6,3 mm",,
beyerdynamic DT-250/80 B-Stock,            ,                150            ,    137,"Fermé,Dynamique,Circum-aural,Aimant néodyme,Impédance: 80 Ohm,Bande passante: 10 - 30.000 Hz,SPL max.: 100 dB,Câble torsadé avec fiche mini Jack stéréo 3,5 mm,Adaptateur 3,5 / 6,3 mm incl.,Poids avec câble: 347 g,Poids sans câble: 244 g",,
Sennheiser HD-300 Pro B-Stock,            ,                148            ,    162,"Closed,Circumaural,Impedance: 64 Ohms,Nominal sound pressure level: 108 ± 3 dB SPL / 1 V rms / 1 kHz,Transmission range: 6 -25000 Hz,Harmonic factor <0.1% at 1 kHz,Boundary sound pressure level: 100 dB,Nominal load capacity: 500 mW,Pressing force: 6.0 N ± 0.75 N,Single-sided cable in 1.5m length with 3.5 mm jack plug,Weight without cable: 297 g,Includes 6.3 mm adapter",,
beyerdynamic DT-880 Pro,            ,                165            ,    179,"Semi-ouvert,Dynamique,Circum-aural,Impédance: 250 Ohm,Sensibilité: 96 dB,Bande passante: 5 - 35.000 HZ,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 390 g,Poids sans câble: 307 g,Adaptateur 3,5/6,3 mm et trousse incl.",4.8,258
beyerdynamic DT-770 Pro 32 Ohms B-Stock,            ,                147            ,    119,"Fermé,Dynamique,Circum-aural,Impédance: 32 Ohm,Sensibilité: 96 dB,Bande passante: 5 - 35.000 HZ,Champ diffus,Câble de 1,6 m avec fiche mini-jack stéréo 3,5 mm,Poids: 270 g,Adaptateur jack vissable 3,5 mm / 6,3 mm et trousse inclus,Poids sans câble: 278 g / 317 g (avec câble)",4.5,2
KRK KNS 8402 B-Stock,            ,                144            ,    99,"Fermé,Circum-aural,Dynamique,Impédance: 36 Ohm,Bande passante: 5 - 23.000 Hz,SPL max.: 97 dB,Puissance admissible: 500 mW,Coussinets d'oreille en latex/mousse à mémoire de forme,Câble audio de 2,6 m avec fiche mini Jack stéréo 3,5 mm et adaptateur Jack stéréo 6,3 mm,Rallonge de 0,75 m avec contrôle du volume,Dimensions: 245 x 268 x 94 mm,Poids sans câble: 247 g,Sacoche et chiffon de nettoyage incl.",,
Austrian Audio Hi-X55 B-Stock,            ,                151            ,    275,"Fermé,Circum-aural,Charnières et bandeau en métal pour une durabilité maximale,Pliable pour un transport facile,Bande passante: 5 - 28000 Hz,Sensibilité: 128 dB SPL/V,THD: < 0,1% à 1 kHz,Impédance: 25 Ohm,Câble amovible de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Dimensions: 300 x 170 x 85 mm,Poids sans câble: 305 g",,
beyerdynamic DT-770 Pro B-Stock,            ,                145            ,    119,"Circum-aural,Dynamique,Fermé,Impédance: 250 Ohm,SPL: 96 dB,Bande passante: 5 - 35000 Hz,Champ diffus,Câble torsadé de 3 m avec fiche mini Jack stéréo 3,5 mm,Adaptateur 6,3 mm incl.,Poids avec câble: 375 g,Poids sans câble 278 g,Sacoche incl.",4.7,183
AKG K-371 B-Stock,            ,                142            ,    105,"Transducteurs de 50 mm enduits de titane,Insonorisation extérieure élevée,Mécanisme de pliage innovant,Coussinets ovales en cuir artificiel,Cheminement de câble d'un seul côté,Circum-aural,Impédance: 32 Ohm,Sensibilité: 114 dB SPL/ V,Bande passante: 5 - 40000 Hz,Poids: 255 g,Câble droit de 3 m, câble droit de 1.2 m, câble torsadé de 3 m, adaptateur 6,3 mm et pochette de rangement incl.",,
beyerdynamic DT 900 PRO X B-Stock,            ,                138            ,    229,"Dynamique,Ouvert,Circum-aural,Transducteurs STELLAR.45,Impédance: 48 Ohm,Sensibilité: 100 dB SPL / 1 mW à 500 Hz,Bande passante: 5 - 40000 Hz,Puissance admissible max. à court terme: 100 mW,Puissance admissible la plus élevée: 30 mW,TDH à 1 mW: 0,80% à 100 Hz (0,05% à 500 Hz , 0,04% à 1 kHz),Serre-tête en acier à ressort et mousse à mémoire de forme,Coussinets d'oreille et de serre-tête interchangeables,Coussinets d'oreille en velours,Câble amovible avec cheminement d'un seul côté,Poids: 345 g,Câble droit de 3 m avec fiches mini XLR/mini Jack stéréo 3,5 mm et adaptateur 6,35 m incl.,Câble droit de 1,8 m avec fiches mini XLR/mini Jack stéréo 3,5 mm et adaptateur 6,35 m incl.,Sacoche de transport incl.",,
AKG K-701 B-Stock,            ,                148            ,    111,"Ouvert,Dynamique,Circum-aural,Technologie de bobinages plats,Impédance: 62 Ohm,SPL max.: 105 dB,Bande passante: 10 - 39.800 Hz,Puissance admissible: 200 mW,Câble de 3 m avec fiche Jack stéréo 6,3 mm,Poids avec câble: 371 g,Poids sans câble: 296 g",4.6,77
Ultrasone Signature Master,            ,                164            ,    945,"Série Signature,Technologie S-Logic 3,Blindage ULE,Dynamique,Fermé,Circum-aural,Transducteurs de 40 mm en mylar/titane avec ailerons double déflecteur (DDF),Aimants NdFeB,Bande passante: 8 - 42000 Hz,Impédance: 32 Ohm,Niveau de pression acoustique: 98 dB,Coussinets d'oreille et d'arceau en cuir mérinos,Poids: 325 g,Câble droit de 3 m avec Jack TRS 6,35 mm Neutrik, câble de 1,5 m avec mini Jack TRS 3,5 mm Neutrik, câble droit de 1,2 m avec micro, boutons de commande et mini Jack 3,5 mm, deuxième paire de coussinets en cuir végan et boîte de transport de haute qualité incl.",,
Audeze LCD-XC Creator Leather Free,            ,                170            ,    1.490,"Fermé,Circum-aural,Transducteurs de 106 mm,Aimants en néodyme,Impédance : 20 Ohm,Pande passante: 5 - 20000 Hz,SPL max.: 130 dB,Nouveau bandeau,Coussinets d'oreille en cuir artificiel,Câble de 1,9 m avec Jack 6,3 mm / mini XLR 4 broches incl.,Malette Economy Travel incl.",,
beyerdynamic DT-770 Pro/80 Ohms B-Stock,            ,                122            ,    119,"Fermé,Dynamique,Circum-aural,Impédance: 80 Ohm,SPL max.: 96 dB,Bande passante: 5 - 35.000 Hz,Câble droit avec fiche mini Jack stéréo 3,5 mm,Adaptateur vissable 3,5 / 6,3mm incl.,Poids avec câble: 346 g,Poids sans câble: 284 g",4.8,92
HEDD HEDDphone B-Stock,            ,                110            ,    1.499,"Design Over-Ear,Ouvert,Transducteurs ""Air Motion Transformer"" (convertisseur électrodynamique),Puissance: 87 dB/1mW,Impédance: 42 Ohm,Bande passante: 10 Hz - 40 kHz,Câble de 2,2 m avec fiche Jack 6,3 mm vers mini XLR 4 broches,Poids: 718 g",,
Audeze LCD-X Creator Edition  B-Stock,            ,                104            ,    1.190,"Nouveau bandeau amélioré,Ouvert,Circumaural,Pilotes de 106 mm,Aimants néodyme,Impédance: 20 Ohms,Réponse en fréquence: 5 - 20 000 Hz,Niveau de pression sonore limite: 130 dB,Coussinets en cuir,Câble de 1,9 m avec fiche jack 6,3 mm / mini-XLR 4 broches",,
AKG K-812 B-Stock,            ,                94            ,    829,"Dynamique,Ouvert,Circum-aural,Impédance: 36 Ohm,SPL: 110 dB,Bande passante: 5 - 54000 Hz,Puissance admissible: 300 mW,Câble amovible de 3 m,Connecteurs LEMO et mini-jack stéréo 3,5 mm plaqué or,Adaptateur jack 6,3 mm et support de casque en bois inclus,Poids avec câble: 455 g,Poids sans câble: 402 g",4.8,5
beyerdynamic DT 700 PRO X B-Stock,            ,                114            ,    229,"Dynamique,Fermé,Circum-aural,Transducteurs STELLAR.45,Impédance: 48 Ohm,Sensibilité: 100 dB SPL / 1 mW à 500 Hz,Bande passante: 5 - 40000 Hz,Puissance admissible max. à court terme: 100 mW,Puissance admissible la plus élevée: 30 mW,TDH à 1 mW: 0,40% à 100 Hz (0,05% à 500 Hz , 0,04% à 1 kHz),Serre-tête en acier à ressort et mousse à mémoire de forme,Coussinets d'oreille et de serre-tête interchangeables,Coussinets d'oreille en velours,Câble amovible avec cheminement d'un seul côté,Poids: 345 g,Câble droit de 3 m avec fiches mini XLR/mini Jack stéréo 3,5 mm et adaptateur 6,35 m incl.,Câble droit de 1,8 m avec fiches mini XLR/mini Jack stéréo 3,5 mm et adaptateur 6,35 m incl.,Sacoche de transport incl.",,
Yamaha HPH-MT7 White,            ,                29            ,    157,"Idéal pour le mixage/enregistrement/monitoring,Circum-aural,Fermé,Impédance: 49 Ohm,Bande passante: 15 - 25.000 Hz,Puissance admissible: 1600 mW,SPL: 99 dB/mW,Transducteurs 40 mm,Coussinets en simili-cuir,Construction tridimensionnelle,Oreillette amovible (pour mixage à une oreille),En aluminium et ABS,Câble droit de 3 m avec fiche mini Jack stéréo 3,5 mm et adaptateur 6,3 mm,Poids avec câble: 360 g,Couleur: Blanc,Trousse incl.",4.5,15
Audio-Technica ATH-R70 X B-Stock,            ,                117            ,    258,"Circum-aural,Ouvert,système d'arceau 3D,Gestion du câble des deux côtés,Coussinets auto-respirants,Aimants haute performance,Transducteurs 45 mm,Bande passante: 5 - 40.000 Hz,Puissance admissible max.: 1000 mW / 1 kHz,Impédance: 470 Ohm,SPL max.: 98 dB,Poids sans câble: 210 g,Couleur: Noir",,
Behringer HC 2000,            ,                102            ,"    18,90","Circum-auriculaire,Fermé,Transducteurs 40 mm,Réponse en fréquence : 20 - 20000 Hz",3.7,12
Ultrasone Performance 880,            ,                43            ,    288,"Technologie S-Logic Plus Natural Surround Sound,Blindage Mu-métal,Rayonnement réduit (standard ULE),Design Over-Ear,Fermé,Dynamique,Bande passante: 7 - 35.000 Hz,Impédance: 32 Ohm,SPL max.: 94 dB,Transducteurs 40 mm,Membranes PET,Revêtement en titane,Aimants NdFeB,Coussinets en cuir protéiné,Poids sans câble: 274 g,1 câble amovible de 3 m avec fiche mini Jack 3,5 mm plaquée or incl.,1 câble amovible de 1,2 m avec micro, télécommande et fiche coudée mini Jack 3,5 mm,Adaptateur 3,5 / 6,3 mm et  étui en néoprène incl.,Coussinets en velours incl.",4.7,16
Mackie MC-100,            ,                65            ,    29,"Circum-aural,Son studio détaillé et incomparable Mackie,Transducteurs de 40 mm précis offrant une excellente transparence de tout le spectre de fréquences,La reproduction amplifiée des graves reproduit exactement les basses et très basses fréquences - les notes de basse individuelles ou les grosse caisse peuvent être très bien entendues,Forme ergonomique,Oreillettes pivotantes à 15°,Serre-tête rembourré et réglable, coussinets échangeables confortables pour un ajustement ergonomique et des heures de confort, tout en offrant une réponse optimale des graves et une atténuation des bruits extérieurs,Conception robuste et durable,Pliable pour un rangement facile et peu encombrant,Idéal pour le monitoring studio, DJ, enregistrement sur le terrain, coute personnelle et plus encore,Bande passante: 15 - 20000 Hz,Impédance: 32 Ohm,Sensibilité: 95 dB,Câble de 3 m,Poids: 233 g,Adaptateur Jack 6,3 mm plaqué or incl.",4.4,9
Superlux HD-661 Orange,            ,                122            ,    29,"Fermé,Dynamique,Circum-aural,SPL max: 102 dB,Impédance: 68 Ohm,Réponse en fréquence: 10 - 20.000 Hz,Puissance d'entrée admissible: 200 mW,Câble de 1 m avec fiche mini-jack 3,5 mm,Câble de 3 m avec fiche mini-jack 3,5 mm,Poids sans câble: 225 g / 246 g (avec),Adaptateur jack 3,5 / 6,3 mm et trousse inclus,Couleur: Orange",4,40
Superlux HD-661 White,            ,                130            ,    29,"Fermé,Dynamique,Circum-aural,SPL max.: 102 dB,Impédance: 68 Ohm,Bande passante: 10 - 20.000 Hz,Puissance absorbée: 200 mW,Câble de 1 m avec fiche mini Jack stéréo 3,5 mm,Câble de 3 m avec fiche mini Jack stéréo 3,5 mm,Poids avec câble: 246 g,Poids sans câble: 225 g,Adaptateur 3,5/6,3 mm et trousse incl.,Couleur: Blanc",4,48
Ultrasone Signature Pro,            ,                151            ,    775,"Technologie S-Logic Plus,Dynamique,Fermé,Bande passante: 8 - 42000Hz,Impédance: 32 Ohm,SPL max.: 98 dB,Transducteurs 40mm avec revêtement en titane,Technologie de blindage ULE,Coussinets et bandeau en cuir,1 câble droit de 3 m avec fiche Neutrik Jack stéréo 6,3 mm plaquée or et connectique B-Lock incl.,1 câble droit de 1,5 m avec fiche coudée Neutrik Jack stéréo 6,3 mm plaquée or et connectique B-Lock incl.,Poids avec câble: 351 g,Poids sans câble: 312 g",4.5,7
Avantone Mixphones MP-1 Black,            ,                135            ,    198,"Closed,Circumaural,Large 50 mm driver,Impedance: 16 Ohm,Sound pressure level: 113 dB,Transmission range: 18 - 25,000 Hz,2 detachable cables: 3 m straight cable, approx. 1 m coiled cable,Screw-on stereo adapter 3.5 / 6.3 mm,Weight: 550 g,Incl. Carrying bag",3.8,8
Maono Studio Monitor Headphones,            ,                113            ,    38,"Fermé,Dynamique,Bande passante: 20 - 20000 Hz,Impédance: 32 Ohm,Sensibilité: 110 dB +/-3 dB à 1 mW,Puissance d'entrée max.: 100 mW,Diamètre des transducteurs: 50 mm,Câble amovible de 3 m avec fiche mini Jack 3,5 mm,Adaptateur 6,3 mm incl.",,
AIAIAI TMA-2 Studio XE,            ,                137            ,    179,"Construction : fermé,Circumauriculaire,Transducteurs : S05,Membranes en biocellulose,Transducteur en néodyme de haute qualité de 40 mm,Réponse en fréquence : 20 Hz - 20 kHz,Sortie maximale : 100 mW,Niveau de pression sonore : 113 dB,Impédance : 32 Ohm,Coussinets en Alcantara E04,Bandeau en polycarbonate H01 avec rembourrage en microfibre,Câble spiralé C02,Longueur du câble : 1,5 m,Fiche mini-jack 3,5 mm,Adaptateur inclus,Poids sans câble : 260 g",,
ESI eXtra 10,            ,                8            ,    57,"Consists of headphones and modelling software,Recreates the acoustic environment of a recording studio control room in the headphones and corrects the frequency response,Software can be used as a plug-in in the DAW or as a stand-alone version,Dynamic, semi-closed monitoring headphones in studio quality (can also be used without modelling software),Impedance: 32 Ohm,Sensitivity: 94dB SPL,Frequency response: 15 - 29000 Hz,With 3.5 mm stereo jack incl. screw adapter to 6.3 mm stereo jack,Cable length: approx. 2.5 m,Includes dSONIC Realphone ESI Edition modelling software (download licence),Supported formats: VST2 / VST3 / AU / AAXnative,System requirements: Win7 or higher, Mac OS X 10.9 or higher, Internet connection",4.3,6
Avantone Mixphones MP-1,            ,                124            ,    198,"Fermé,Circum-aural,Transducteurs 50 mm,Impédance: 16 Ohm,SPL: 113 dB,Bande passante: 18 - 25.000 Hz,2 câbles amovibles: 1 x droit de 3 m, 1 x torsadé d'env. 1 m,Adaptateur vissable 3,5/6,3 mm,Poids: 550 g,Trousse incl.",4.3,12
